Date,Price,Open,High,Low,Vol.,Change %
9/1/20,"3,363.00","3,507.44","3,588.11","3,209.45",,-3.92%
8/1/20,"3,500.31","3,288.26","3,514.77","3,284.53",,7.01%
7/1/20,"3,271.12","3,105.92","3,279.99","3,101.17",,5.51%
6/1/20,"3,100.29","3,038.78","3,233.13","2,965.66",,1.84%
5/1/20,"3,044.31","2,869.09","3,068.67","2,766.64",,4.53%
4/1/20,"2,912.43","2,498.08","2,954.86","2,447.49",,12.68%
3/1/20,"2,584.59","2,974.28","3,136.72","2,191.86",,-12.51%
2/1/20,"2,954.22","3,235.66","3,393.52","2,855.84",,-8.41%
1/1/20,"3,225.52","3,244.67","3,337.77","3,214.64",,-0.16%
12/1/19,"3,230.78","3,143.85","3,247.93","3,070.33",,2.86%
11/1/19,"3,140.98","3,050.72","3,154.26","3,050.72",,3.40%
10/1/19,"3,037.56","2,983.69","3,050.10","2,855.94",,2.04%
9/1/19,"2,976.74","2,909.01","3,021.99","2,891.85",,1.72%
8/1/19,"2,926.46","2,980.32","3,013.59","2,822.12",,-1.81%
7/1/19,"2,980.38","2,971.41","3,027.98","2,952.22",,1.31%
6/1/19,"2,941.76","2,751.53","2,964.15","2,728.81",,6.89%
5/1/19,"2,752.06","2,952.33","2,954.13","2,750.52",,-6.58%
4/1/19,"2,945.83","2,848.63","2,949.52","2,848.63",,3.93%
3/1/19,"2,834.40","2,798.22","2,860.31","2,722.27",,1.79%
2/1/19,"2,784.49","2,702.32","2,813.49","2,681.83",,2.97%
1/1/19,"2,704.10","2,476.96","2,708.95","2,443.96",,7.87%
12/1/18,"2,506.85","2,790.50","2,800.18","2,346.58",,-9.18%
11/1/18,"2,760.17","2,717.58","2,815.15","2,631.09",,1.79%
10/1/18,"2,711.74","2,926.29","2,939.86","2,603.54",,-6.94%
9/1/18,"2,913.98","2,896.96","2,940.91","2,864.12",,0.43%
8/1/18,"2,901.52","2,821.17","2,916.50","2,796.34",,3.03%
7/1/18,"2,816.29","2,704.95","2,848.03","2,698.95",,3.60%
6/1/18,"2,718.37","2,718.70","2,791.47","2,691.99",,0.48%
5/1/18,"2,705.27","2,643.64","2,742.24","2,594.62",,2.16%
4/1/18,"2,648.05","2,633.45","2,717.49","2,553.80",,0.27%
3/1/18,"2,640.87","2,715.22","2,801.90","2,585.89",,-2.69%
2/1/18,"2,713.83","2,816.45","2,835.96","2,532.69",,-3.89%
1/1/18,"2,823.81","2,683.73","2,872.87","2,682.36",,5.62%
12/1/17,"2,673.61","2,645.10","2,694.97","2,605.52",,0.98%
11/1/17,"2,647.58","2,583.21","2,657.74","2,557.45",,2.81%
10/1/17,"2,575.26","2,521.20","2,582.98","2,520.40",,2.22%
9/1/17,"2,519.36","2,474.42","2,519.44","2,446.55",,1.93%
8/1/17,"2,471.65","2,477.10","2,490.87","2,417.35",,0.05%
7/1/17,"2,470.30","2,431.39","2,484.04","2,407.70",,1.93%
6/1/17,"2,423.41","2,415.65","2,453.82","2,405.70",,0.48%
5/1/17,"2,411.80","2,388.50","2,418.71","2,352.72",,1.16%
4/1/17,"2,384.20","2,362.34","2,398.16","2,328.95",,0.91%
3/1/17,"2,362.72","2,380.13","2,400.98","2,322.25",,-0.04%
2/1/17,"2,363.64","2,285.59","2,371.54","2,271.65",,3.72%
1/1/17,"2,278.87","2,251.57","2,300.99","2,245.13",,1.79%
12/1/16,"2,238.83","2,200.17","2,277.53","2,187.44",,1.82%
11/1/16,"2,198.81","2,128.68","2,214.10","2,083.79",,3.42%
10/1/16,"2,126.15","2,164.33","2,169.60","2,114.72",,-1.94%
9/1/16,"2,168.27","2,171.33","2,187.87","2,119.12",,-0.12%
8/1/16,"2,170.95","2,173.15","2,193.81","2,147.58",,-0.12%
7/1/16,"2,173.60","2,099.34","2,177.09","2,074.02",,3.56%
6/1/16,"2,098.86","2,093.94","2,120.55","1,991.68",,0.09%
5/1/16,"2,096.96","2,067.17","2,103.48","2,025.91",,1.53%
4/1/16,"2,065.30","2,056.62","2,111.05","2,033.80",,0.27%
3/1/16,"2,059.74","1,937.09","2,072.21","1,937.09",,6.60%
2/1/16,"1,932.23","1,936.94","1,962.96","1,810.10",,-0.41%
1/1/16,"1,940.24","2,038.20","2,038.20","1,812.29",,-5.07%
12/1/15,"2,043.94","2,082.93","2,104.27","1,993.26",,-1.75%
11/1/15,"2,080.41","2,080.76","2,116.48","2,019.39",,0.05%
10/1/15,"2,079.36","1,919.65","2,094.32","1,893.70",,8.30%
9/1/15,"1,920.03","1,970.09","2,020.86","1,871.91",,-2.64%
8/1/15,"1,972.18","2,104.49","2,112.66","1,867.01",,-6.26%
7/1/15,"2,103.84","2,067.00","2,132.82","2,044.02",,1.97%
6/1/15,"2,063.11","2,108.64","2,129.87","2,056.32",,-2.10%
5/1/15,"2,107.39","2,087.38","2,134.72","2,067.93",,1.05%
4/1/15,"2,085.51","2,067.63","2,125.92","2,048.38",,0.85%
3/1/15,"2,067.89","2,105.23","2,117.52","2,039.69",,-1.74%
2/1/15,"2,104.50","1,996.67","2,119.59","1,980.90",,5.49%
1/1/15,"1,994.99","2,058.90","2,072.36","1,988.12",,-3.10%
12/1/14,"2,058.90","2,065.78","2,093.55","1,972.56",,-0.42%
11/1/14,"2,067.56","2,018.21","2,075.76","2,001.01",,2.45%
10/1/14,"2,018.05","1,971.44","2,018.19","1,820.66",,2.32%
9/1/14,"1,972.29","2,004.07","2,019.26","1,964.04",,-1.55%
8/1/14,"2,003.37","1,929.80","2,005.04","1,904.78",,3.77%
7/1/14,"1,930.67","1,962.29","1,991.39","1,930.67",,-1.51%
6/1/14,"1,960.23","1,923.87","1,968.17","1,915.98",,1.91%
5/1/14,"1,923.57","1,884.39","1,924.03","1,859.79",,2.10%
4/1/14,"1,883.95","1,873.96","1,897.28","1,814.36",,0.62%
3/1/14,"1,872.34","1,857.68","1,883.97","1,834.44",,0.69%
2/1/14,"1,859.45","1,782.68","1,867.92","1,737.92",,4.31%
1/1/14,"1,782.60","1,845.90","1,850.80","1,770.50",,-3.56%
12/1/13,"1,848.40","1,806.50","1,849.40","1,768.00",,2.36%
11/1/13,"1,805.80","1,758.70","1,813.50","1,746.20",,2.81%
10/1/13,"1,756.50","1,682.40","1,775.20","1,646.50",,4.46%
9/1/13,"1,681.50","1,636.00","1,729.90","1,633.40",,2.97%
8/1/13,"1,633.00","1,689.40","1,709.70","1,627.50",,-3.13%
7/1/13,"1,685.70","1,609.80","1,698.80","1,604.60",,4.94%
6/1/13,"1,606.30","1,631.70","1,654.20","1,560.30",,-1.50%
5/1/13,"1,630.70","1,597.50","1,687.20","1,581.30",,2.07%
4/1/13,"1,597.60","1,569.20","1,597.60","1,536.00",,1.81%
3/1/13,"1,569.20","1,514.70","1,570.30","1,501.50",,3.60%
2/1/13,"1,514.70","1,498.10","1,530.90","1,485.00",,1.11%
1/1/13,"1,498.10","1,426.20","1,509.90","1,426.20",,5.04%
12/1/12,"1,426.20","1,416.30","1,448.00","1,398.10",,0.71%
11/1/12,"1,416.20","1,412.20","1,434.30","1,343.30",,0.28%
10/1/12,"1,412.20","1,440.90","1,471.00","1,403.30",,-1.98%
9/1/12,"1,440.70","1,406.50","1,474.50","1,396.60",,2.42%
8/1/12,"1,406.60","1,379.30","1,426.70","1,354.70",,1.98%
7/1/12,"1,379.30","1,362.30","1,391.70","1,325.40",,1.26%
6/1/12,"1,362.20","1,309.90","1,363.50","1,266.70",,3.96%
5/1/12,"1,310.30","1,397.90","1,415.30","1,292.00",,-6.27%
4/1/12,"1,397.90","1,408.50","1,422.40","1,357.40",,-0.75%
3/1/12,"1,408.50","1,365.90","1,419.20","1,340.00",,3.13%
2/1/12,"1,365.70","1,312.50","1,378.00","1,312.50",,4.06%
1/1/12,"1,312.40","1,258.90","1,333.50","1,258.90",,4.36%
12/1/11,"1,257.60","1,246.90","1,269.40","1,202.40",,0.85%
11/1/11,"1,247.00","1,251.00","1,277.50","1,158.70",,-0.50%
10/1/11,"1,253.30","1,131.20","1,292.70","1,074.80",,10.77%
9/1/11,"1,131.40","1,219.10","1,229.30","1,114.20",,-7.18%
8/1/11,"1,218.90","1,292.60","1,307.40","1,101.50",,-5.68%
7/1/11,"1,292.30","1,320.60","1,356.50","1,282.90",,-2.14%
6/1/11,"1,320.60","1,345.20","1,345.20","1,258.10",,-1.83%
5/1/11,"1,345.20","1,365.20","1,370.60","1,311.80",,-1.35%
4/1/11,"1,363.60","1,329.50","1,364.60","1,294.70",,2.85%
3/1/11,"1,325.80","1,328.60","1,332.30","1,249.00",,-0.11%
2/1/11,"1,327.20","1,289.10","1,344.10","1,289.10",,3.20%
1/1/11,"1,286.10","1,257.60","1,302.70","1,257.60",,2.27%
12/1/10,"1,257.60","1,186.60","1,262.60","1,186.60",,6.53%
11/1/10,"1,180.50","1,185.70","1,227.10","1,173.00",,-0.24%
10/1/10,"1,183.30","1,143.50","1,196.10","1,131.90",,3.69%
9/1/10,"1,141.20","1,049.70","1,157.20","1,049.70",,8.76%
8/1/10,"1,049.30","1,107.50","1,129.20","1,039.70",,-4.75%
7/1/10,"1,101.60","1,031.10","1,121.00","1,010.90",,6.88%
6/1/10,"1,030.70","1,087.30","1,131.20","1,028.30",,-5.39%
5/1/10,"1,089.40","1,188.60","1,205.10","1,040.80",,-8.20%
4/1/10,"1,186.70","1,171.20","1,219.80","1,170.70",,1.48%
3/1/10,"1,169.40","1,105.40","1,180.70","1,105.40",,5.88%
2/1/10,"1,104.50","1,073.90","1,112.40","1,044.50",,2.85%
1/1/10,"1,073.90","1,116.60","1,150.50","1,071.60",,-3.69%
12/1/09,"1,115.10","1,098.90","1,130.40","1,085.90",,1.78%
11/1/09,"1,095.60","1,036.20","1,113.70","1,029.40",,5.73%
10/1/09,"1,036.20","1,054.90","1,101.40","1,020.00",,-1.98%
9/1/09,"1,057.10","1,019.50","1,080.20",992,,3.58%
8/1/09,"1,020.60",990.2,"1,039.50",978.5,,3.35%
7/1/09,987.5,920.8,996.7,869.3,,7.42%
6/1/09,919.3,923.3,956.2,888.9,,0.02%
5/1/09,919.1,872.7,930.2,866.1,,5.30%
4/1/09,872.8,793.6,888.7,783.3,,9.39%
3/1/09,797.9,729.6,833,666.8,,8.54%
2/1/09,735.1,823.1,875,734.5,,-10.99%
1/1/09,825.9,903,943.9,804.3,,-8.56%
12/1/08,903.2,888.6,918.9,815.7,,0.78%
11/1/08,896.2,968.7,"1,007.50",741,,-7.49%
10/1/08,968.8,"1,164.20","1,167.00",839.8,,-16.94%
9/1/08,"1,166.40","1,287.80","1,303.00","1,106.40",,-9.07%
8/1/08,"1,282.80","1,269.40","1,313.20","1,247.50",,1.22%
7/1/08,"1,267.40","1,276.70","1,292.20","1,200.40",,-0.98%
6/1/08,"1,280.00","1,399.60","1,404.00","1,272.00",,-8.60%
5/1/08,"1,400.40","1,386.00","1,440.20","1,373.10",,1.07%
4/1/08,"1,385.60","1,326.40","1,404.60","1,324.30",,4.76%
3/1/08,"1,322.70","1,330.50","1,359.70","1,257.00",,-0.59%
2/1/08,"1,330.60","1,378.60","1,396.00","1,316.80",,-3.47%
1/1/08,"1,378.50","1,468.00","1,471.80","1,270.00",,-6.12%
12/1/07,"1,468.40","1,479.60","1,523.60","1,435.70",,-0.86%
11/1/07,"1,481.10","1,545.80","1,545.80","1,406.10",,-4.41%
10/1/07,"1,549.40","1,527.30","1,576.10","1,489.60",,1.48%
9/1/07,"1,526.80","1,474.00","1,538.70","1,439.30",,3.58%
8/1/07,"1,474.00","1,455.20","1,503.90","1,370.60",,1.28%
7/1/07,"1,455.30","1,504.70","1,555.90","1,454.20",,-3.19%
6/1/07,"1,503.30","1,530.60","1,540.60","1,484.20",,-1.78%
5/1/07,"1,530.60","1,482.40","1,535.60","1,476.70",,3.25%
4/1/07,"1,482.40","1,420.80","1,498.00","1,416.40",,4.33%
3/1/07,"1,420.90","1,406.80","1,438.90","1,364.00",,1.00%
2/1/07,"1,406.80","1,437.90","1,461.60","1,389.40",,-2.18%
1/1/07,"1,438.20","1,418.00","1,441.60","1,404.00",,1.40%
12/1/06,"1,418.30","1,400.60","1,431.80","1,385.90",,1.26%
11/1/06,"1,400.60","1,377.80","1,407.90","1,361.00",,1.65%
10/1/06,"1,377.90","1,335.80","1,389.50","1,327.10",,3.15%
9/1/06,"1,335.80","1,303.80","1,340.30","1,290.90",,2.45%
8/1/06,"1,303.80","1,278.50","1,306.70","1,261.30",,2.12%
7/1/06,"1,276.70","1,270.10","1,280.40","1,224.50",,0.51%
6/1/06,"1,270.20","1,270.00","1,290.70","1,219.30",,0.01%
5/1/06,"1,270.10","1,310.60","1,326.70","1,245.30",,-3.09%
4/1/06,"1,310.60","1,302.90","1,318.20","1,280.70",,1.22%
3/1/06,"1,294.80","1,280.70","1,310.90","1,268.40",,1.10%
2/1/06,"1,280.70","1,280.10","1,297.60","1,253.60",,0.05%
1/1/06,"1,280.10","1,248.30","1,294.90","1,245.70",,2.55%
12/1/05,"1,248.30","1,249.50","1,275.80","1,246.60",,-0.10%
11/1/05,"1,249.50","1,207.00","1,270.60","1,201.10",,3.52%
10/1/05,"1,207.00","1,228.80","1,233.30","1,168.20",,-1.77%
9/1/05,"1,228.80","1,220.30","1,243.10","1,205.30",,0.70%
8/1/05,"1,220.30","1,234.20","1,245.90","1,201.10",,-1.13%
7/1/05,"1,234.20","1,191.30","1,245.20","1,183.50",,3.60%
6/1/05,"1,191.30","1,191.50","1,219.60","1,188.30",,-0.02%
5/1/05,"1,191.50","1,156.80","1,199.60","1,146.20",,3.00%
4/1/05,"1,156.80","1,180.60","1,191.90","1,136.20",,-2.02%
3/1/05,"1,180.60","1,203.60","1,229.10","1,163.70",,-1.91%
2/1/05,"1,203.60","1,181.30","1,212.40","1,181.00",,1.89%
1/1/05,"1,181.30","1,211.90","1,217.90","1,163.80",,-2.52%
12/1/04,"1,211.90","1,173.80","1,217.30","1,173.80",,3.25%
11/1/04,"1,173.80","1,130.20","1,188.50","1,127.50",,3.86%
10/1/04,"1,130.20","1,114.60","1,142.00","1,090.20",,1.40%
9/1/04,"1,114.60","1,104.20","1,131.50","1,099.10",,0.94%
8/1/04,"1,104.20","1,101.70","1,109.70","1,060.70",,0.23%
7/1/04,"1,101.70","1,140.80","1,140.80","1,078.80",,-3.43%
6/1/04,"1,140.80","1,120.70","1,146.30","1,113.30",,1.79%
5/1/04,"1,120.70","1,107.30","1,127.70","1,076.30",,1.21%
4/1/04,"1,107.30","1,126.20","1,150.60","1,107.20",,-1.68%
3/1/04,"1,126.20","1,144.90","1,163.20","1,087.10",,-1.63%
2/1/04,"1,144.90","1,131.10","1,159.00","1,124.40",,1.22%
1/1/04,"1,131.10","1,111.90","1,155.40","1,105.10",,1.73%
12/1/03,"1,111.90","1,058.20","1,112.60","1,053.40",,5.07%
11/1/03,"1,058.20","1,050.70","1,063.70","1,031.20",,0.71%
10/1/03,"1,050.70",996,"1,053.80",996,,5.49%
9/1/03,996,"1,008.00","1,040.30",990.4,,-1.19%
8/1/03,"1,008.00",990.3,"1,011.00",960.8,,1.79%
7/1/03,990.3,974.5,"1,015.40",962.1,,1.62%
6/1/03,974.5,963.6,"1,015.30",963.6,,1.13%
5/1/03,963.6,916.9,965.4,902.8,,5.09%
4/1/03,916.9,848.2,924.2,847.9,,8.10%
3/1/03,848.2,841.1,895.9,788.9,,0.84%
2/1/03,841.1,855.7,864.6,806.3,,-1.71%
1/1/03,855.7,879.8,935,840.3,,-2.74%
12/1/02,879.8,936.3,954.3,869.5,,-6.03%
11/1/02,936.3,885.8,941.8,872,,5.70%
10/1/02,885.8,815.3,907.4,768.6,,8.65%
9/1/02,815.3,916.1,924,800.2,,-11.00%
8/1/02,916.1,911.6,965,833.4,,0.49%
7/1/02,911.6,989.8,994.5,775.7,,-7.90%
6/1/02,989.8,"1,067.10","1,070.70",952.9,,-7.24%
5/1/02,"1,067.10","1,076.90","1,106.60","1,049.00",,-0.91%
4/1/02,"1,076.90","1,146.00","1,147.80","1,063.50",,-6.14%
3/1/02,"1,147.40","1,108.70","1,173.90","1,108.70",,3.68%
2/1/02,"1,106.70","1,127.40","1,130.20","1,074.40",,-2.08%
1/1/02,"1,130.20","1,149.00","1,177.00","1,081.70",,-1.56%
12/1/01,"1,148.10","1,139.50","1,173.60","1,114.50",,0.75%
11/1/01,"1,139.50","1,063.10","1,163.40","1,054.30",,7.52%
10/1/01,"1,059.80","1,037.90","1,110.60","1,026.80",,1.82%
9/1/01,"1,040.90","1,133.60","1,155.40",944.8,,-8.18%
8/1/01,"1,133.60","1,211.20","1,226.30","1,124.90",,-6.41%
7/1/01,"1,211.20","1,224.40","1,239.80","1,165.50",,-1.08%
6/1/01,"1,224.40","1,255.80","1,286.60","1,203.00",,-2.50%
5/1/01,"1,255.80","1,249.50","1,315.90","1,232.00",,0.50%
4/1/01,"1,249.50","1,160.30","1,269.30","1,092.00",,7.69%
3/1/01,"1,160.30","1,239.90","1,267.40","1,081.20",,-6.42%
2/1/01,"1,239.90","1,366.00","1,376.40","1,215.40",,-9.23%
1/1/01,"1,366.00","1,320.30","1,383.40","1,274.60",,3.46%
12/1/00,"1,320.30","1,315.00","1,389.00","1,254.10",,0.40%
11/1/00,"1,315.00","1,429.40","1,438.50","1,294.90",,-8.00%
10/1/00,"1,429.40","1,436.50","1,454.80","1,305.80",,-0.49%
9/1/00,"1,436.50","1,517.70","1,530.00","1,419.50",,-5.35%
8/1/00,"1,517.70","1,430.80","1,525.30","1,426.00",,6.07%
7/1/00,"1,430.80","1,454.60","1,517.20","1,414.20",,-1.64%
6/1/00,"1,454.60","1,420.60","1,489.00","1,420.60",,2.39%
5/1/00,"1,420.60","1,452.40","1,481.40","1,361.20",,-2.19%
4/1/00,"1,452.40","1,498.60","1,527.10","1,339.40",,-3.08%
3/1/00,"1,498.60","1,366.40","1,553.10","1,346.50",,9.68%
2/1/00,"1,366.40","1,394.50","1,444.40","1,325.00",,-2.02%
1/1/00,"1,394.50","1,469.20","1,478.00","1,350.00",,-5.08%
12/1/99,"1,469.20","1,388.90","1,473.10","1,387.50",,5.78%
11/1/99,"1,388.90","1,362.90","1,425.30","1,346.40",,1.91%
10/1/99,"1,362.90","1,282.70","1,373.20","1,233.70",,6.25%
9/1/99,"1,282.70","1,320.40","1,361.30","1,256.30",,-2.86%
8/1/99,"1,320.40","1,328.70","1,382.80","1,267.70",,-0.62%
7/1/99,"1,328.70","1,372.70","1,420.30","1,328.50",,-3.21%
6/1/99,"1,372.70","1,301.80","1,372.90","1,277.50",,5.45%
5/1/99,"1,301.80","1,335.20","1,376.00","1,277.30",,-2.50%
4/1/99,"1,335.20","1,286.40","1,371.60","1,282.60",,3.79%
3/1/99,"1,286.40","1,238.30","1,323.80","1,216.00",,3.88%
2/1/99,"1,238.30","1,279.60","1,283.80","1,211.90",,-3.23%
1/1/99,"1,279.60","1,229.20","1,280.40","1,205.50",,4.10%
12/1/98,"1,229.20","1,163.60","1,244.90","1,136.90",,5.64%
11/1/98,"1,163.60","1,098.70","1,193.00","1,098.70",,5.91%
10/1/98,"1,098.70","1,017.00","1,103.80",923.3,,8.03%
9/1/98,"1,017.00",957.3,"1,066.10",940,,6.24%
8/1/98,957.3,"1,120.70","1,121.80",957.3,,-14.58%
7/1/98,"1,120.70","1,133.80","1,190.60","1,114.30",,-1.16%
6/1/98,"1,133.80","1,090.80","1,145.20","1,074.70",,3.94%
5/1/98,"1,090.80","1,111.80","1,130.50","1,074.40",,-1.89%
4/1/98,"1,111.80","1,101.80","1,133.00","1,076.70",,0.91%
3/1/98,"1,101.80","1,049.30","1,113.10","1,030.90",,5.00%
2/1/98,"1,049.30",980.3,"1,051.70",980.3,,7.04%
1/1/98,980.3,970.4,992.6,912.8,,1.02%
12/1/97,970.4,955.4,986.2,924.9,,1.57%
11/1/97,955.4,914.6,964.5,900.6,,4.46%
10/1/97,914.6,950.9,983.1,855.3,,-3.45%
9/1/97,947.3,899.5,960.6,899.5,,5.31%
8/1/97,899.5,954.3,964.2,893.3,,-5.74%
7/1/97,954.3,885.1,957.7,884.5,,7.82%
6/1/97,885.1,848.3,902.1,838.8,,4.34%
5/1/97,848.3,801.3,851.9,793.2,,5.87%
4/1/97,801.3,757.1,804.1,733.5,,5.84%
3/1/97,757.1,790.8,814.9,756.1,,-4.26%
2/1/97,790.8,786.2,817.7,773.4,,0.59%
1/1/97,786.2,740.7,794.7,729.5,,6.14%
12/1/96,740.7,757,761.8,716.7,,-2.15%
11/1/96,757,705.3,762.1,701.3,,7.33%
10/1/96,705.3,687.3,714.1,684.4,,2.62%
9/1/96,687.3,652,690.9,644,,5.41%
8/1/96,652,640,670.7,639.5,,1.88%
7/1/96,640,670.6,675.9,605.9,,-4.56%
6/1/96,670.6,669.1,680.3,658.8,,0.22%
5/1/96,669.1,654.2,681.1,630.1,,2.28%
4/1/96,654.2,645.5,656.7,624.1,,1.35%
3/1/96,645.5,640.4,657,627.6,,0.80%
2/1/96,640.4,636,664.2,633.7,,0.69%
1/1/96,636,615.9,636.2,597.3,,3.26%
12/1/95,615.9,605.4,622.9,605,,1.73%
11/1/95,605.4,581.5,608.7,581,,4.11%
10/1/95,581.5,584.4,590.7,571.5,,-0.50%
9/1/95,584.4,561.9,587.6,561,,4.00%
8/1/95,561.9,562.1,565.6,553,,-0.04%
7/1/95,562.1,544.8,565.4,542.5,,3.18%
6/1/95,544.8,533.4,551.1,526,,2.14%
5/1/95,533.4,514.8,533.4,513,,3.63%
4/1/95,514.7,500.7,515.3,500.2,,2.80%
3/1/95,500.7,487.4,508.1,479.7,,2.73%
2/1/95,487.4,470.4,489.2,469.3,,3.61%
1/1/95,470.4,459.2,471.4,457.2,,2.42%
12/1/94,459.3,453.6,462.7,442.9,,1.23%
11/1/94,453.7,472.3,472.3,444.2,,-3.96%
10/1/94,472.4,462.7,474.7,449.3,,2.10%
9/1/94,462.7,475.5,475.5,458.5,,-2.69%
8/1/94,475.5,458.3,477.6,456.1,,3.75%
7/1/94,458.3,444.3,459.3,443.6,,3.15%
6/1/94,444.3,456.5,463.2,439.8,,-2.67%
5/1/94,456.5,450.9,457.8,440.8,,1.24%
4/1/94,450.9,445.7,452.8,435.9,,1.14%
3/1/94,445.8,467.2,471.1,436.2,,-4.56%
2/1/94,467.1,481.6,482.2,464.3,,-3.01%
1/1/94,481.6,466.5,482.9,464.4,,3.26%
12/1/93,466.4,461.9,471.3,461.4,,1.00%
11/1/93,461.8,467.8,469.1,454.4,,-1.28%
10/1/93,467.8,458.9,471.1,456.4,,1.94%
9/1/93,458.9,463.6,463.8,449.6,,-1.01%
8/1/93,463.6,448.1,463.6,446.9,,3.46%
7/1/93,448.1,450.5,451.1,441.4,,-0.53%
6/1/93,450.5,450.2,455.6,442.5,,0.07%
5/1/93,450.2,440.2,454.6,436.9,,2.27%
4/1/93,440.2,451.7,452.6,432.3,,-2.55%
3/1/93,451.7,443.4,456.8,441.1,,1.87%
2/1/93,443.4,438.8,450,428.2,,1.05%
1/1/93,438.8,435.7,442.7,426.9,,0.71%
12/1/92,435.7,431.4,442.6,428.6,,1.00%
11/1/92,431.4,418.7,431.9,415.6,,3.03%
10/1/92,418.7,417.8,421.2,396.8,,0.22%
9/1/92,417.8,414,425.3,412.7,,0.92%
8/1/92,414,424.2,425.1,408.3,,-2.40%
7/1/92,424.2,408.2,424.8,407.2,,3.95%
6/1/92,408.1,415.4,417.3,399.9,,-1.76%
5/1/92,415.4,414.9,418.8,409.9,,0.12%
4/1/92,414.9,403.7,416.3,392.4,,2.77%
3/1/92,403.7,412.7,413.8,401.9,,-2.18%
2/1/92,412.7,408.8,418.1,406.3,,0.95%
1/1/92,408.8,417,421.2,408.6,,-1.99%
12/1/91,417.1,375.1,418.3,371.4,,11.17%
11/1/91,375.2,392.5,398.2,371.6,,-4.41%
10/1/91,392.5,387.9,393.8,376.1,,1.19%
9/1/91,387.9,395.4,397.6,382.8,,-1.90%
8/1/91,395.4,387.8,396.8,374.1,,1.96%
